Intercept;private_price;yhat;residual
17305.96728;-29590.73676;130.41443;4.736318741
17300.58011;-29597.50749;113.2691024;-1.720052784
17302.77786;-29595.86118;135.8304279;-6.567857288
17299.97883;-29597.41495;112.7215508;-0.685666199
17299.8535;-29599.64784;119.1283389;-2.660553362
17303.63308;-29593.08734;106.9551736;8.708125204
17300.3535;-29599.07325;96.90465713;-0.383091167
17300.86924;-29596.07051;126.2827987;0.396842053
17299.94514;-29596.38161;114.6374351;0.690167609
17301.15374;-29597.74478;121.5331787;1.242760648
17303.68549;-29594.08663;121.1572426;4.158281212
17301.01471;-29598.13889;113.3370424;5.067271033
17298.78115;-29600.57893;102.3403127;-3.311203053
17301.92376;-29596.43954;123.0608113;-2.345354515
17298.78805;-29598.65537;115.1616086;-0.984468241
17304.54439;-29593.24468;136.3885204;-3.995091249
17299.81916;-29596.12232;121.1403385;-0.590151457
17302.12668;-29592.02895;117.9970604;0.534459091
17302.34695;-29595.59711;106.4803341;-4.377681635
17299.79172;-29599.0096;96.37987444;0.732908482
17302.54102;-29591.93765;118.4644195;-0.663707344
17303.27912;-29593.16718;112.9285421;2.666331336
17302.36957;-29595.67387;123.9510405;-3.197077138
17302.73032;-29592.34972;114.8683405;4.031876967
17305.8787;-29590.46313;124.0075939;5.105601494
17305.27718;-29591.76713;129.1262742;-1.462758851
17302.2037;-29592.47563;108.1507545;2.703070267
17301.78472;-29596.38502;109.5649243;2.168015521
17301.79091;-29593.81665;124.4503824;-2.993800417
17301.19355;-29597.92391;112.3798609;-6.471221337
17301.73894;-29597.30588;126.43562;-2.808266958
17301.42918;-29595.63272;107.8618429;-2.204339179
17301.32814;-29596.71792;99.24826034;-2.129756485
