neighbourhood;index_20;b0;b1;b2;b3;yhat;res
Barking and Dagenham;2440.573553;490700.3475;-26.56201805;-3.729449786;-902011.2816;2273.659234;166.9143194
Barnet;1741.895944;469026.465;-7.739686638;-2.708597843;-862789.175;1833.783721;-91.88777693
Bexley;2240.399499;462495.3781;-16.34711264;-1.468498141;-850520.0656;2378.980304;-138.5808041
Brent;1788.577861;462550.1599;-10.12078432;-3.005377122;-850730.5938;1799.426236;-10.84837575
Bromley;1803.524769;426485.8108;4.605571475;1.051315338;-784895.2395;1993.667203;-190.1424343
Camden;1558.422683;498114.8867;-12.81623031;-3.746540106;-916177.633;1485.616782;72.80590081
City of London;1420.125938;522231.6465;-16.23037851;-3.932276906;-960565.5281;1432.87338;-12.74744135
Croydon;2210.693459;435261.1919;7.886171928;-0.206952899;-800932.1851;2130.546907;80.14655186
Ealing;1757.802845;452057.255;-10.73110844;-2.54649794;-831365.5807;1830.822271;-73.01942614
Enfield;1998.545461;492584.6645;-14.51180674;-3.232963198;-906000.1901;2070.556309;-72.01084803
Greenwich;1976.18034;468705.8589;-13.55363145;-2.561760382;-861845.127;1953.200988;22.97935248
Hackney;2065.636609;512825.8147;-15.97238968;-4.04074306;-943146.7943;1895.798404;169.838205
Hammersmith and Fulham;1374.411691;479036.931;-12.47356154;-3.261774855;-881017.8245;1601.336761;-226.9250706
Haringey;1936.963661;498715.0432;-11.88247653;-3.539292553;-917303.6418;2043.499802;-106.5361405
Harrow;1774.225947;448321.8757;-8.764817957;-2.445028129;-824577.684;1970.244134;-196.0181871
Havering;2354.899908;490735.0525;-29.85513346;-3.307453635;-902093.4203;2170.819917;184.0799905
Hillingdon;2050.143223;436487.1864;-9.919305367;-2.169282773;-802676.6759;1885.470955;164.6722685
Hounslow;1883.83585;447399.7173;-9.644476464;-1.67953267;-822891.4792;1843.093086;40.74276445
Islington;1587.327229;509143.6274;-14.0817413;-3.862610712;-936459.8273;1644.023703;-56.69647378
Kensington and Chelsea;1420.805807;490228.2541;-13.82294201;-3.514872705;-901620.5707;1374.500814;46.30499311
Kingston upon Thames;1770.38044;450101.367;-4.278631623;-0.597267319;-828119.8191;1889.539285;-119.1588446
Lambeth;1967.255444;488519.474;-8.44077874;-2.982561332;-898567.5805;1778.69959;188.5558537
Lewisham;2052.379572;462104.2631;-2.800306734;-2.110663597;-849952.2173;2099.680035;-47.30046326
Merton;2011.140122;463736.2481;-3.914854287;-1.417783902;-853149.1616;1830.90419;180.2359312
Newham;2381.385735;493869.773;-20.64957004;-4.265435636;-907882.4344;2037.252735;344.133
Redbridge;2154.3655;500946.4462;-26.26034666;-4.315770376;-920866.8037;2208.532338;-54.16683851
Richmond upon Thames;1848.365998;454184.0726;-9.263629091;-1.359400483;-835472.2133;1667.225232;181.1407657
Southwark;1750.511592;488574.8923;-8.913139183;-3.557781394;-898522.8634;1760.543918;-10.03232599
Sutton;1943.795417;445963.6365;3.90850578;-0.36846059;-820619.2759;2026.244853;-82.44943617
Tower Hamlets;1650.379359;502555.32;-15.03870594;-4.196032095;-924102.0701;1820.210692;-169.8313338
Waltham Forest;2251.712583;508908.443;-21.59491059;-4.280521806;-935735.863;2227.906717;23.80586636
Wandsworth;1594.061187;483980.8632;-10.62175912;-2.483441528;-890275.2411;1706.458635;-112.3974483
Westminster;1315.940692;502823.7512;-14.99334091;-3.768442668;-924823.0241;1348.961744;-33.02105225
